"population","field","farm","postcode","county","year","fieldnumber","crop","eastings_BNG","northings_BNG","lat_WGS","long_WGS","a","l","m","h","v","den_mean","den_n","Density.States","surv_mean","surv_sd","surv_se","surv_n"
17,"common.hill","highfields","DN5_7UJ","South Yorks",2014,1,"ww","452427.1","406289.5","53.550618999999998","-1.210164",0,20,51,92,67,2.895652174,230,4,0.8055555555,0.0392837101444867,0.0277777778333333,2
18,"rig.field","highfields","DN5_7UJ","South Yorks",2014,2,"ww","453916.625","405747.75","53.545599000000003","-1.187778",17,63,34,20,7,1.553191489,141,5,0.222222222166667,0.314269680448787,0.222222222166667,2
19,"front.field","manor.robinson","DN7_5TG","South Yorks",2014,1,"ww","463938.7","412499.6","53.605156999999998","-1.0351680000000001",0,50,37,39,55,2.546961326,181,4,0.5,0.549971940608601,0.388888888666667,2
20,"buckleys","manor.robinson","DN7_5TG","South Yorks",2014,2,"ww","463856.5","413181","53.611289999999997","-1.0362709999999999",0,62,40,102,31,2.434042553,235,4,0.916666666666667,0.117851130197758,0.0833333333333333,2
21,"wells.road","moorleys","HP18_9QQ","Buckinghamshire",2014,1,"ww","465628.5","211565.8","51.798850999999999","-1.049696",0,0,13,53,205,3.708487085,271,3,0.972222222166667,0.0392837101444867,0.0277777778333333,2
22,"cow.road","moorleys","HP18_9QQ","Buckinghamshire",2014,2,"ww","466005.6","211510.39999999999","51.798309000000003","-1.0442389999999999",1,26,31,9,4,1.845070423,71,5,0.944444444333333,0.0785674202889734,0.0555555556666666,2
23,"dottoms","new.headlands","HU11_4QA","East Riding of Yorkshire",2014,1,"ww","525673","437290.7","53.816707999999998","-9.2549000000000006E-2",0,16,25,69,94,3.181372549,204,4,0.611111111166667,0.549971940844303,0.388888888833333,2
24,"back.of.beans","new.headlands","HU11_4QA","East Riding of Yorkshire",2014,2,"ww","525194.30000000005","437631.2","53.819882","-9.9678000000000003E-2",0,95,47,44,26,2.004716981,212,4,0.611111111166667,0.549971940844303,0.388888888833333,2
25,"back.field","grange.patchett","HU15_1RG","East Riding of Yorkshire",2014,1,"ww","487228","428571.11109999998","53.746220000000001","-0.67877200000000004",42,178,20,4,0,0.942622951,244,4,0.883333333166667,0.00785674193461649,0.00555555550000003,2
27,"field.3","bransholme.dairy","HU7_4YP","East Riding of Yorkshire",2014,1,"ww","511896.2","435754.7","53.806052999999999","-0.30226500000000001",15,156,31,10,6,1.247706422,218,5,0.611111111333333,0.235702260395516,0.166666666666667,2
28,"field.2","bransholme.dairy","HU7_4YP","East Riding of Yorkshire",2014,2,"ww","512305.1","435382.5","53.802621000000002","-0.29619499999999999",6,98,31,21,7,1.539877301,163,5,0.416666666833333,0.510688230935518,0.361111111166667,2
29,"arable","hill","IP25_7EF","Norfolk",2014,1,"ww","589447.5","308171.5","52.638174999999997","0.79839899999999997",87,47,4,2,0,0.435714286,140,4,0.138888889166667,0.0392837101444867,0.0277777778333333,2
30,"bush.meadow","hill","IP25_7EF","Norfolk",2014,2,"ww","588721.1","306300","52.621623","0.78660799999999997",0,15,31,53,72,3.064327485,171,4,0.722222222166667,0.39283710073776,0.277777777833333,2
31,"20.acre.railway","welldale","LE12_6JD","Leicestershire",2014,1,"ww","456146.1","329805.59999999998","52.862791999999999","-1.16747",16,74,21,2,1,1.105263158,114,5,0.861111111166667,0.196418550251029,0.138888888833333,2
32,"17.acre.middle","welldale","LE12_6JD","Leicestershire",2014,2,"ww","456292.7","329590","52.860838999999999","-1.16533",39,88,17,14,20,1.370786517,178,5,0.861111111,0.117851130197758,0.0833333333333333,2
33,"19.acre","fox.and.hounds","LE16_7UG","Northamptonshire",2014,1,"ww","473825.4","297168.09999999998","52.567309999999999","-0.91223299999999996",0,107,56,8,0,1.421052632,171,3,0.583333333333333,0.353553390593274,0.25,2
34,"25.acre","fox.and.hounds","LE16_7UG","Northamptonshire",2014,2,"ww","473762.2","297014.2","52.565935000000003","-0.91320000000000001",3,123,31,2,0,1.201257862,159,4,0.8055555555,0.274985970540003,0.1944444445,2
35,"seeds","poplars","LE16_8TB","Northamptonshire",2014,1,"ww","485956.4","293267.3","52.530470999999999","-0.73430700000000004",0,105,51,8,1,1.424242424,165,4,0.25,0.196418550015327,0.138888888666667,2
36,"18.acre","poplars","LE16_8TB","Northamptonshire",2014,2,"ww","481939","287519.5","52.479427999999999","-0.794929",0,39,83,34,5,2.031055901,161,4,0.861111111,0.0392837099087845,0.0277777776666667,2
37,"top.cliffe","hall","LN1_2LL","Lincolnshire",2014,1,"ww","482389.875","373540.625","53.252474999999997","-0.76655600000000002",47,50,9,6,0,0.767857143,112,4,0.75,0.353553390593274,0.25,2
38,"45.acre","hall","LN1_2LL","Lincolnshire",2014,2,"ww","482676.3","373572.4","53.252715999999999","-0.76225600000000004",177,70,23,10,0,0.521428571,280,4,0.833333333166667,0.0785674200532712,0.0555555555,2
39,"no.7a","cooper","LN11_0NX","Lincolnshire",2014,1,"ww","537228.5","394643.4","53.430709999999998","6.4069000000000001E-2",0,1,61,103,15,2.733333333,180,4,0.888888888833333,2.35702201392998e-10,1.66666624945587e-10,2
40,"no.17","cooper","LN11_0NX","Lincolnshire",2014,2,"ww","536861.4","394190.3","53.426735000000001","5.8351E-2",0,5,29,84,18,2.845588235,136,4,0.805555555666667,0.117851130197758,0.0833333333333333,2
41,"garden","willoughby","LN13_9TD","Lincolnshire",2014,1,"ww","545020.1","374051.7","53.243664000000003","0.17183599999999999",0,47,20,28,64,2.685534591,159,4,0.777777777666667,0.314269680684489,0.222222222333333,2
42,"thors.manor.3","willoughby","LN13_9TD","Lincolnshire",2014,2,"ww","545530.4","377330.5","53.272976999999997","0.180975",0,72,37,24,6,1.741007194,139,4,0.888888888833333,0.157134840342245,0.111111111166667,2
43,"bridge.leggott","leggott.m","LN4_4QQ","Lincolnshire",2014,1,"ww","522522","349646","53.03007719","-0.174469974",0,0,12,56,62,3.384615385,130,3,0.833333333333333,0.235702260395516,0.166666666666667,2
43,"2x11","leggott.m","LN4_4QQ","Lincolnshire",2014,2,"ww","523016","350101","53.034051920000003","-0.166934466",0,36,22,34,20,2.339285714,112,4,0.833333333333333,0.235702260395516,0.166666666666667,2
44,"capps","leggott.c","LN5_0RD","Lincolnshire",2014,1,"ww","488970","352946.2","53.066338999999999","-0.67367500000000002",0,92,34,23,4,1.60130719,153,4,0.888888888833333,0.157134840342245,0.111111111166667,2
45,"horsewoods.top","leggott.c","LN5_0RD","Lincolnshire",2014,2,"ww","488189","352725.6","53.064484999999998","-0.685388",0,74,71,71,46,2.339694656,262,4,0.638888888833333,0.510688230935518,0.361111111166667,2
46,"woolfits","brantedge","LN5_0SP","Lincolnshire",2014,1,"ww","492603.8","354985.3","53.084046999999998","-0.61887499999999995",7,93,19,20,1,1.392857143,140,5,0.75,0.353553390593274,0.25,2
47,"stable","watergate","LU7_9LN","Bedfordshire",2014,1,"ww","497890.3","228314.6","51.944684000000002","-0.577233",35,110,9,0,0,0.831168831,154,3,0.722222222166667,0.235702260631218,0.166666666833333,2
48,"denmans.close","watergate","LU7_9LN","Bedfordshire",2014,2,"ww","498624.1","229536.9","51.955540999999997","-0.56620999999999999",1,46,14,19,8,1.852272727,88,5,0.75,0.196418550486731,0.138888889,2
49,"clay.hill","hermitage","MK16_0HR","Bedfordshire",2014,1,"ww","489982.4","240943.5","52.059533000000002","-0.68893700000000002",1,67,31,12,0,1.486486486,111,4,0.6944444445,0.274985970540003,0.1944444445,2
50,"slade","hermitage","MK16_0HR","Bedfordshire",2014,2,"ww","489694.4","240868.2","52.058903000000001","-0.69315599999999999",1,68,21,11,0,1.415841584,101,4,0.833333333333333,0.157134840106542,0.111111111,2
51,"hermitage","chetwode.manor","MK18_4BB","Buckingham",2014,1,"ww","465093.8","230774.5","51.971595999999998","-1.05383",0,11,30,33,21,2.673684211,95,4,0.944444444333333,0,0,2
52,"court","chetwode.manor","MK18_4BB","Buckingham",2014,2,"ww","464902.2","229770.8","51.962595999999998","-1.056808",0,8,32,41,93,3.25862069,174,4,1,0,0,2
53,"big.boxhedge","boxhedge","MK43_0AT","Bedfordshire",2014,1,"ww","496143.2","245503.8","52.099487000000003","-0.59781899999999999",0,1,2,61,249,3.782747604,313,4,0.966666666666667,0.0471404520791032,0.0333333333333333,2
54,"jollys","boxhedge","MK43_0AT","Bedfordshire",2014,2,"ww","496199.4","244961.5","52.094602999999999","-0.59715200000000002",0,1,34,127,55,3.087557604,217,4,0.972222222166667,0.0392837101444867,0.0277777778333333,2
55,"little.great.close","lodge","MK44_1EJ","Bedfordshire",2014,1,"ww","503018.6","263569.2","52.260613999999997","-0.49199799999999999",0,45,56,87,13,2.338308458,201,4,0.944444444333333,0.0785674202889734,0.0555555556666666,2
56,"middle.lodge","lodge","MK44_1EJ","Bedfordshire",2014,2,"ww","503153.7","263362.8","52.258733999999997","-0.49008200000000002",0,29,42,56,11,2.355072464,138,4,0.972222222166667,0.0392837101444867,0.0277777778333333,2
57,"mowing.ground","north.end","MK44_1QT","Bedfordshire",2014,1,"ww","502425.5","258662","52.216621000000004","-0.50217100000000003",0,20,25,20,7,2.194444444,72,4,0.722222222166667,0.157134840342245,0.111111111166667,2
58,"gilberts","north.end","MK44_1QT","Bedfordshire",2014,2,"ww","502373.3","258839.4","52.218226000000001","-0.50288100000000002",7,176,71,34,9,1.535353535,297,5,0.911111111166667,0.125707872132374,0.0888888888333333,2
59,"common.green.end","green.end","MK44_2BU","Bedfordshire",2014,1,"ww","509859.6","264418.40000000002","52.266922999999998","-0.39152900000000002",0,155,20,6,0,1.17679558,181,3,0.583333333333333,0.2749859703043,0.194444444333333,2
60,"big.gomish","green.end","MK44_2BU","Bedfordshire",2014,2,"ww","510208.2","263917.09999999998","52.262348000000003","-0.38658599999999999",15,93,65,84,6,1.897338403,263,5,0.749999999833333,0.196418550251029,0.138888888833333,2
61,"fence.field","elliott.farms","MK44_2EE","Bedfordshire",2014,1,"ww","506573.1","260212.3","52.229768","-0.440996",0,0,25,68,41,3.119402985,134,3,0.7666666665,0.251415744500451,0.177777777833333,2
62,"bottom.rosses","elliott.farms","MK44_2EE","Bedfordshire",2014,2,"ww","506545","258200.5","52.211692999999997","-0.44203999999999999",0,79,72,25,24,1.97,200,4,0.666666666666667,0.392837100502058,0.277777777666667,2
63,"maizys.laze","rectory","MK44_2PD","Bedfordshire",2014,1,"ww","509250.3","256701.8","52.197695000000003","-0.402945",0,59,41,2,0,1.441176471,102,3,0.833333333333333,0.157134840106542,0.111111111,2
64,"bilses.hill","rectory","MK44_2PD","Bedfordshire",2014,2,"ww","509092","256068","52.192031","-0.40546399999999999",0,157,52,16,0,1.373333333,225,3,0.472222222166667,0.667823071042061,0.472222222166667,2
65,"long.7.acre","hollygate","NG12_2JW","Nottinghamshire",2014,1,"ww","466799.6","336718.5","52.923712000000002","-1.0078309999999999",0,31,30,11,6,1.897435897,78,4,0.819444444333333,0.176776695296637,0.125,2
66,"orchard.field","hollygate","NG12_2JW","Nottinghamshire",2014,2,"ww","466383.8","336166.6","52.918802999999997","-1.014127",151,47,4,9,5,0.472222222,216,5,0.944444444333333,0,0,2
67,"corner.13.acre","rectory.copley","NG13_9LF","Nottinghamshire",2014,1,"ww","479603.20000000001","340653.6","52.957335999999998","-0.81645699999999999",28,64,13,17,5,1.267716535,127,5,0.916666666666667,0.117851130197758,0.0833333333333333,2
68,"top.end.mill.lane","rectory.copley","NG13_9LF","Nottinghamshire",2014,2,"ww","477164.5","338969.8333","52.942559000000003","-0.85315300000000005",2,38,22,35,11,2.138888889,108,5,0.916666666666667,0.0392837099087845,0.0277777776666667,2
71,"allotment","barn","NG32_3HX","Lincolnshire",2014,1,"sprwheat","495682","349982.8","53.038550000000001","-0.57441799999999998",0,69,9,0,0,1.115384615,78,2,0.944444444333333,0.0785674202889734,0.0555555556666666,2
72,"rutland.south","barn","NG32_3HX","Lincolnshire",2014,2,"sprwheat","494890.6","349519.2","53.034523999999998","-0.58635400000000004",0,6,33,39,117,3.369230769,195,4,0.916666666666667,0.0392837099087845,0.0277777776666667,2
73,"field.60","cranwell.hall","NG34_8NG","Lincolnshire",2014,1,"ww","503977.5","349743.5","53.034852999999998","-0.45082",0,2,13,17,330,3.864640884,362,4,0.9206349205,0.0336717515187454,0.0238095238333333,2
74,"field.40","cranwell.hall","NG34_8NG","Lincolnshire",2014,2,"ww","504368.7","349899.5","53.036178","-0.444938",0,24,12,12,143,3.434554974,191,4,0.861111111,0.117851130197758,0.0833333333333333,2
75,"threadgold","white.house","NN29_7JT","Northamptonshire",2014,1,"ww","491189","258012.79999999999","52.212758999999998","-0.66676899999999995",0,190,3,0,0,1.015544041,193,2,0.8055555555,0.0392837101444867,0.0277777778333333,2
76,"front.field","white.house","NN29_7JT","Northamptonshire",2014,2,"ww","490533.4","258461.5","52.216900000000003","-0.67624200000000001",23,48,7,0,0,0.794871795,78,3,0.972222222166667,0.0392837101444867,0.0277777778333333,2
77,"mawland.smiths","bfc.agronomy","NN6_8NN","Northamptonshire",2014,1,"ww","470596.8","275118.90000000002","52.369545000000002","-0.96452099999999996",0,5,44,125,66,3.05,240,4,1,0,0,2
78,"fifty.acre","bfc.agronomy","NN6_8NN","Northamptonshire",2014,2,"ww","470666.8","275447.90000000002","52.372492999999999","-0.96342399999999995",2,176,57,20,35,1.689655172,290,5,0.9166666665,0.11785113043346,0.0833333335,2
79,"jollies","kerdiston.house","NR10_4RP","Norfolk",2014,1,"ww","606959.19999999995","322590.40000000002","52.761221999999997","1.0658840000000001",23,145,13,2,0,0.967213115,183,4,0.0277777778333333,0.0392837101444867,0.0277777778333333,2
80,"treasures","kerdiston.house","NR10_4RP","Norfolk",2014,2,"ww","606606.19999999995","322229.2","52.758114999999997","1.060433",0,85,31,10,0,1.404761905,126,3,0.138888888833333,0.117851129962056,0.0833333331666667,2
81,"24.acre","flordon.hall","NR15_1RT","Norfolk",2014,1,"ww","618967.6","298626.40000000002","52.541403000000003","1.227665",0,65,67,91,9,2.189655172,232,4,0,0,0,2
82,"bracon.close","flordon.hall","NR15_1RT","Norfolk",2014,2,"ww","618787.69999999995","298679","52.541947","1.2250509999999999",8,99,5,0,0,0.973214286,112,3,0.0555555556666667,0.0785674202889735,0.0555555556666667,2
83,"pillbox","friars","NR15_2QL","Norfolk",2014,1,"ww","622473.30000000005","291742.90000000002","52.478200999999999","1.274672",30,108,9,14,21,1.384615385,182,5,0.416666666666667,0.432120810882247,0.305555555666667,2
84,"ollands","friars","NR15_2QL","Norfolk",2014,2,"ww","621248.75","292991.25","52.489902999999998","1.2574989999999999",71,86,0,0,0,0.547770701,157,2,0.388888888833333,0.471404520555329,0.333333333166667,2
85,"glebe.30","villa","NR16_1SN","Norfolk",2014,1,"ww","612074.4","292451.5","52.488698999999997","1.1222430000000001",133,85,7,1,0,0.451327434,226,4,0.222222222166667,0.0785674200532712,0.0555555555,2
86,"sherrards.green","honingham.thorpe.farms","NR17_1NJ","Norfolk",2014,1,"ww","607613.6","295169.09999999998","52.514809999999997","1.0583359999999999",56,36,2,1,0,0.452631579,95,4,0.5,0.628539360897574,0.444444444333333,2
87,"far.field","honingham.thorpe.farms","NR17_1NJ","Norfolk",2014,2,"ww","608230.5","295878.2","52.520940000000003","1.0678570000000001",8,161,16,0,0,1.043243243,185,3,0.5944444445,0.416407326777312,0.2944444445,2
88,"angels.piece","bourton","OX17_1AS","Warwickshire",2014,1,"ww","443866.1","246357.3","52.113767000000003","-1.3608279999999999",0,0,0,1,121,3.991803279,122,2,0.75,0.353553390593274,0.25,2
89,"banbury.road","bourton","OX17_1AS","Warwickshire",2014,2,"ww","444575.8","246651.5","52.116354999999999","-1.3504259999999999",5,179,8,6,1,1.090452261,199,5,0.611111110833333,0.0785674200532712,0.0555555555,2
90,"barn.ground","clattercote","OX17_1QB","Northamptonshire",2014,1,"ww","446773.8","249296.2","52.139949999999999","-1.3179650000000001",76,203,13,7,0,0.836120401,299,4,0.611111111333333,0,0,2
91,"clattercote.meadow","clattercote","OX17_1QB","Northamptonshire",2014,2,"ww","446130","249403.7","52.140971","-1.3273569999999999",0,7,38,31,13,2.561797753,89,4,0.523809523833333,0.594867609378829,0.4206349205,2
92,"gym","perdiswell","OX20_1QJ","Oxfordshire",2014,1,"ww","447370.1","215924.3","51.839877999999999","-1.3138540000000001",6,107,65,9,0,1.411764706,187,4,0.682539682833333,0.13468700583928,0.0952380951666667,2
93,"begbroke.A44","perdiswell","OX20_1QJ","Oxfordshire",2014,2,"ww","447062.1","214601.60000000001","51.828012000000001","-1.3185039999999999",1,59,51,92,105,2.782467532,308,5,0.888888888833333,0.0785674200532712,0.0555555555,2
94,"slade","souldern.grounds","OX25_6LU","Oxfordshire",2014,1,"ww","450682.6","230183","51.967776999999998","-1.2636849999999999",0,0,1,17,236,3.92519685,254,3,0.972222222166667,0.0392837101444867,0.0277777778333333,2
95,"ramground","souldern.grounds","OX25_6LU","Oxfordshire",2014,2,"ww","451130.2","230097.4","51.966966999999997","-1.2571829999999999",0,35,46,34,107,2.959459459,222,4,0.972222222166667,0.0392837101444867,0.0277777778333333,2
96,"carters","twelve.acre.farm","OX29_4BH","Oxfordshire",2014,1,"ww","440989","209262.2","51.780484999999999","-1.407254",0,0,5,16,98,3.781512605,119,3,0.944444444333333,0.0785674202889734,0.0555555556666666,2
97,"emmas","twelve.acre.farm","OX29_4BH","Oxfordshire",2014,2,"ww","441822.7","209962.9","51.786723000000002","-1.395086",0,4,12,36,21,3.01369863,73,4,0.75,0.117851130197758,0.0833333333333334,2
101,"cumfrey","churchview","PE10_0RZ","Lincolnshire",2014,2,"ww","521619","317207.90000000002","52.738802","-0.200014",0,37,58,57,45,2.558375635,197,4,0.861111111166667,0.0392837101444867,0.0277777778333333,2
102,"rookery.one.and.two","charlton","PE12_6QG","Lincolnshire",2014,1,"ww","532391.1","319476.8","52.756658999999999","-3.9639000000000001E-2",0,133,44,15,22,1.654205607,214,4,0.638888888666667,0.353553390593274,0.25,2
103,"rookery.bottom","charlton","PE12_6QG","Lincolnshire",2014,2,"ww","532323.4","319057.90000000002","52.752912000000002","-4.0809999999999999E-2",0,51,45,56,17,2.230769231,169,4,0.5,0.235702260395516,0.166666666666667,2
104,"corridor","lighthouse","PE12_9YT","Lincolnshire",2014,1,"ww","550728","324420.09999999998","52.796264000000001","0.23414399999999999",0,96,63,28,30,1.963133641,217,4,0.638888888666667,0.353553390593274,0.25,2
105,"m15","cotton","PE19_6PU","Cambridgeshire",2014,1,"ww","522988.5","265264.7","52.271751000000002","-0.19892399999999999",0,15,36,127,14,2.729166667,192,4,0.75,0.353553390593274,0.25,2
106,"c8","cotton","PE19_6PU","Cambridgeshire",2014,2,"ww","524123.4","264596","52.265487999999998","-0.18254600000000001",37,114,36,20,9,1.305555556,216,5,0.8055555555,0.274985970540003,0.1944444445,2
109,"bridge","wennington.lodge","PE28_2LP","Cambridgeshire",2014,1,"ww","522161.2","279209.7","52.397244999999998","-0.20597799999999999",1,104,57,27,11,1.715,200,5,0.5833333335,0.589255650753087,0.4166666665,2
110,"behind.the.cotts","wennington.lodge","PE28_2LP","Cambridgeshire",2014,2,"ww","521999.1","279798.2","52.402569","-0.208145",9,132,71,26,3,1.510373444,241,5,0.638888888833333,0.196418550251029,0.138888888833333,2
111,"big.orchard","barnfield","PE28_3LY","Cambridgeshire",2014,1,"ww","534847.5","275587.09999999998","52.361719999999998","-2.1093000000000001E-2",0,12,33,72,62,3.027932961,179,4,0.833333333333333,0.235702260395516,0.166666666666667,2
112,"hill.field","barnfield","PE28_3LY","Cambridgeshire",2014,2,"ww","535068.5","275858.2","52.364102000000003","-1.7741E-2",0,7,15,29,116,3.520958084,167,4,0.9444444445,0.0785674200532712,0.0555555555,2
113,"back.of.hovels","manor.williams","PE28_5RR","Cambridgeshire",2014,1,"ww","514520.4","287147.40000000002","52.470225999999997","-0.31550600000000001",1,1,27,107,61,3.147208122,197,5,0.888888888833333,0.0785674200532712,0.0555555555,2
114,"chapmans","manor.williams","PE28_5RR","Cambridgeshire",2014,2,"ww","514877.1","286454.2","52.463921999999997","-0.31049599999999999",0,70,30,2,0,1.333333333,102,3,0.833333333333333,0.235702260395516,0.166666666666667,2
115,"lower.norrels.garden","cannister","PE32_2LW","Norfolk",2014,1,"ww","585926.80000000005","314259.20000000001","52.694056000000003","0.74986399999999998",0,13,18,41,28,2.84,100,4,0.944444444333333,0.0785674202889734,0.0555555556666666,2
116,"barn.field","cannister","PE32_2LW","Norfolk",2014,2,"ww","585678.6","314763.5","52.698669000000002","0.74648000000000003",0,22,20,45,20,2.588785047,107,4,0.661111111166667,0.0864241622235899,0.0611111111666667,2
117,"joans.drove","burnt.house","PE7_2HP","Cambridgeshire",2014,1,"ww","531600","293869.5","52.526778","-6.1556E-2",38,139,22,16,5,1.140909091,220,5,0.683333333333333,0.0549971942494218,0.038888889,2
118,"mecks.centre","burnt.house","PE7_2HP","Cambridgeshire",2014,2,"ww","532523.1","290852.09999999998","52.499442999999999","-4.9159000000000001E-2",25,105,11,2,0,0.93006993,143,4,0.555555555666667,0.471404520791032,0.333333333333333,2
119,"pink.cottage.close","fullers.hill","SG19_3BP","Bedfordshire",2014,1,"ww","527015.4","253565.4","52.165709","-0.14432800000000001",19,220,37,2,0,1.079136691,278,4,0.9444444445,0.0785674200532712,0.0555555555,2
120,"middle.diff.align","fullers.hill","SG19_3BP","Bedfordshire",2014,2,"ww","526726.80000000005","254139.5","52.170934000000003","-0.14833099999999999",0,43,37,53,48,2.585635359,181,4,0.888888888833333,0.0785674200532712,0.0555555555,2
121,"16.acre","manor.house","YO25_8DX","East Riding of Yorkshire",2014,1,"ww","515807","449289","53.926786999999997","-0.23780299999999999",23,116,25,4,0,1.05952381,168,4,0.500000000166667,0.549971940844303,0.388888888833333,2
122,"44.acre.the.bottoms","manor.house","YO25_8DX","East Riding of Yorkshire",2014,2,"ww","515339.5","449062.8","53.924858999999998","-0.245005",80,140,47,20,3,1.055172414,290,5,0.638888888833333,0.432120810646545,0.3055555555,2
123,"front","newsome.lodge","YO25_8EJ","East Riding of Yorkshire",2014,1,"ww","512988.4","448588.1","53.921112000000001","-0.28096599999999999",8,45,30,46,28,2.261146497,157,5,0.611111111166667,0.314269680448787,0.222222222166667,2
124,"eds","hall.bank","YO30_1AN","North Yorkshire",2014,1,"ww","455811","461109","54.042941999999996","-1.149181",198,76,2,0,0,0.289855072,276,3,0.1944444445,0.274985970540003,0.1944444445,2
125,"Field.2","greens","YO32_2RE","North Yorkshire",2014,1,"ww","457849","459458","54.027881000000001","-1.118376",5,70,31,38,2,1.739726027,146,5,0.0555555555,0.0785674200532712,0.0555555555,2
126,"Field.1","greens","YO32_2RE","North Yorkshire",2014,2,"ww","457900","459613","54.029268000000002","-1.1175679999999999",3,70,24,3,0,1.27,100,4,0.166666666833333,0.157134840342245,0.111111111166667,2
127,"hallmoor.5","hallmoor","YO32_2RQ","North Yorkshire",2014,1,"ww","456332","458641","54.020705999999997","-1.141683",95,106,0,0,0,0.527363184,201,2,0.222222222166667,0.235702260159814,0.1666666665,2
128,"north","spinks","YO61_1ET","North Yorkshire",2014,2,"ww","458499","462093","54.051487999999999","-1.1079479999999999",93,11,1,0,0,0.123809524,105,3,0.361111111,0.510688230699816,0.361111111,2
129,"24.acre","raskelf","YO61_3LG","North Yorkshire",2014,1,"ww","447532.1","470636.4","54.129393","-1.2741070000000001",0,119,54,29,7,1.636363636,209,4,0.0277777778333333,0.0392837101444867,0.0277777778333333,2
130,"45.acre.nr.duffields","raskelf","YO61_3LG","North Yorkshire",2014,2,"ww","447143","470198.1","54.125489999999999","-1.2801290000000001",0,36,96,74,2,2.201923077,208,4,0.0277777778333333,0.0392837101444867,0.0277777778333333,2
131,"newton.grange.23","birch","YO62_5YD","North Yorkshire",2014,1,"ww","461841","479804","54.210256999999999","-1.0532859999999999",82,80,2,0,0,0.512195122,164,3,0.111111111,0.157134840106542,0.111111111,2
