year,County,FarmCode,Postcode,FieldName,FieldNumber,crop,Pcode,UNIQUE,a,l,m,h,v,Density.Score,n,Density.States
2014,Lincolnshire,hall,LN1_2LL,45.acre,2,ww,LN1_2LL_grid_2,LN1_2LL_grid_2_2014,177,70,23,10,0,0.521428571,280,4
2014,Lincolnshire,cooper,LN11_0NX,no.7a,1,ww,LN11_0NX_grid_1,LN11_0NX_grid_1_2014,0,1,61,103,15,2.733333333,180,4
2014,Lincolnshire,cooper,LN11_0NX,no.17,2,ww,LN11_0NX_grid_2,LN11_0NX_grid_2_2014,0,5,29,84,18,2.845588235,136,4
2014,Lincolnshire,willoughby,LN13_9TD,garden,1,ww,LN13_9TD_grid_1,LN13_9TD_grid_1_2014,0,47,20,28,64,2.685534591,159,4
2014,Lincolnshire,willoughby,LN13_9TD,thors.manor.3,2,ww,LN13_9TD_grid_2,LN13_9TD_grid_2_2014,0,72,37,24,6,1.741007194,139,4
2014,Lincolnshire,leggott.m,LN4_4QQ,bridge.leggott,1,ww,LN4_4QQ_grid_1,LN4_4QQ_grid_1_2014,0,0,12,56,62,3.384615385,130,3
2014,Lincolnshire,leggott.m,LN4_4QQ,2x11,2,ww,LN4_4QQ_grid_2,LN4_4QQ_grid_2_2014,0,36,22,34,20,2.339285714,112,4
2014,Lincolnshire,leggott.c,LN5_0RD,capps,1,ww,LN5_0RD_grid_1,LN5_0RD_grid_1_2014,0,92,34,23,4,1.60130719,153,4
2014,Lincolnshire,leggott.c,LN5_0RD,horsewoods.top,2,ww,LN5_0RD_grid_2,LN5_0RD_grid_2_2014,0,74,71,71,46,2.339694656,262,4
2014,Lincolnshire,brantedge,LN5_0SP,woolfits,1,ww,LN5_0SP_grid_1,LN5_0SP_grid_1_2014,7,93,19,20,1,1.392857143,140,5
2014,Lincolnshire,brantedge,LN5_0SP,44.acre,2,ww,LN5_0SP_grid_2,LN5_0SP_grid_2_2014,0,75,47,41,26,2.095238095,189,4
2014,Bedfordshire,watergate,LU7_9LN,stable,1,ww,LU7_9LN_grid_1,LU7_9LN_grid_1_2014,35,110,9,0,0,0.831168831,154,3
2014,Bedfordshire,watergate,LU7_9LN,denmans.close,2,ww,LU7_9LN_grid_2,LU7_9LN_grid_2_2014,1,46,14,19,8,1.852272727,88,5
2014,Bedfordshire,hermitage,MK16_0HR,clay.hill,1,ww,MK16_0HR_grid_1,MK16_0HR_grid_1_2014,1,67,31,12,0,1.486486486,111,4
2014,Bedfordshire,hermitage,MK16_0HR,slade,2,ww,MK16_0HR_grid_2,MK16_0HR_grid_2_2014,1,68,21,11,0,1.415841584,101,4
2014,Buckingham,chetwode.manor,MK18_4BB,hermitage,1,ww,MK18_4BB_grid_1,MK18_4BB_grid_1_2014,0,11,30,33,21,2.673684211,95,4
2014,Buckingham,chetwode.manor,MK18_4BB,court,2,ww,MK18_4BB_grid_2,MK18_4BB_grid_2_2014,0,8,32,41,93,3.25862069,174,4
2014,Bedfordshire,boxhedge,MK43_0AT,big.boxhedge,1,ww,MK43_0AT_grid_1,MK43_0AT_grid_1_2014,0,1,2,61,249,3.782747604,313,4
2014,Bedfordshire,boxhedge,MK43_0AT,jollys,2,ww,MK43_0AT_grid_2,MK43_0AT_grid_2_2014,0,1,34,127,55,3.087557604,217,4
2014,Bedfordshire,lodge,MK44_1EJ,little.great.close,1,ww,MK44_1EJ_grid_1,MK44_1EJ_grid_1_2014,0,45,56,87,13,2.338308458,201,4
2014,Bedfordshire,lodge,MK44_1EJ,middle.lodge,2,ww,MK44_1EJ_grid_2,MK44_1EJ_grid_2_2014,0,29,42,56,11,2.355072464,138,4
2014,Bedfordshire,north.end,MK44_1QT,mowing.ground,1,ww,MK44_1QT_grid_1,MK44_1QT_grid_1_2014,0,20,25,20,7,2.194444444,72,4
2014,Bedfordshire,north.end,MK44_1QT,gilberts,2,ww,MK44_1QT_grid_2,MK44_1QT_grid_2_2014,7,176,71,34,9,1.535353535,297,5
2014,Bedfordshire,green.end,MK44_2BU,common.green.end,1,ww,MK44_2BU_grid_1,MK44_2BU_grid_1_2014,0,155,20,6,0,1.17679558,181,3
2014,Bedfordshire,green.end,MK44_2BU,big.gomish,2,ww,MK44_2BU_grid_2,MK44_2BU_grid_2_2014,15,93,65,84,6,1.897338403,263,5
2014,Bedfordshire,elliott.farms,MK44_2EE,fence.field,1,ww,MK44_2EE_grid_1,MK44_2EE_grid_1_2014,0,0,25,68,41,3.119402985,134,3
2014,Bedfordshire,elliott.farms,MK44_2EE,bottom.rosses,2,ww,MK44_2EE_grid_2,MK44_2EE_grid_2_2014,0,79,72,25,24,1.97,200,4
2014,Bedfordshire,rectory,MK44_2PD,maizys.laze,1,ww,MK44_2PD_grid_1,MK44_2PD_grid_1_2014,0,59,41,2,0,1.441176471,102,3
2014,Bedfordshire,rectory,MK44_2PD,bilses.hill,2,ww,MK44_2PD_grid_2,MK44_2PD_grid_2_2014,0,157,52,16,0,1.373333333,225,3
2014,Nottinghamshire,hollygate,NG12_2JW,long.7.acre,1,ww,NG12_2JW_grid_1,NG12_2JW_grid_1_2014,0,31,30,11,6,1.897435897,78,4
2014,Nottinghamshire,hollygate,NG12_2JW,orchard.field,2,ww,NG12_2JW_grid_2,NG12_2JW_grid_2_2014,151,47,4,9,5,0.472222222,216,5
2014,Nottinghamshire,rectory.copley,NG13_9LF,corner.13.acre,1,ww,NG13_9LF_grid_1,NG13_9LF_grid_1_2014,28,64,13,17,5,1.267716535,127,5
2014,Nottinghamshire,rectory.copley,NG13_9LF,top.end.mill.lane,2,ww,NG13_9LF_grid_2,NG13_9LF_grid_2_2014,2,38,22,35,11,2.138888889,108,5
2014,Nottinghamshire,staunton.charltons,NG13_9PE,lark,1,ww,NG13_9PE_grid_1,NG13_9PE_grid_1_2014,0,105,64,73,25,2.06741573,267,4
2014,Nottinghamshire,staunton.charltons,NG13_9PE,pudding,2,ww,NG13_9PE_grid_2,NG13_9PE_grid_2_2014,0,62,36,19,9,1.801587302,126,4
2014,Lincolnshire,barn,NG32_3HX,allotment,1,sprwheat,NG32_3HX_grid_1,NG32_3HX_grid_1_2014,0,69,9,0,0,1.115384615,78,2
2014,Lincolnshire,barn,NG32_3HX,rutland.south,2,sprwheat,NG32_3HX_grid_2,NG32_3HX_grid_2_2014,0,6,33,39,117,3.369230769,195,4
2014,Lincolnshire,cranwell.hall,NG34_8NG,field.60,1,ww,NG34_8NG_grid_1,NG34_8NG_grid_1_2014,0,2,13,17,330,3.864640884,362,4
2014,Lincolnshire,cranwell.hall,NG34_8NG,field.40,2,ww,NG34_8NG_grid_2,NG34_8NG_grid_2_2014,0,24,12,12,143,3.434554974,191,4
2014,Northamptonshire,white.house,NN29_7JT,threadgold,1,ww,NN29_7JT_grid_1,NN29_7JT_grid_1_2014,0,190,3,0,0,1.015544041,193,2
2014,Northamptonshire,white.house,NN29_7JT,front.field,2,ww,NN29_7JT_grid_2,NN29_7JT_grid_2_2014,23,48,7,0,0,0.794871795,78,3
2014,Northamptonshire,bfc.agronomy,NN6_8NN,mawland.smiths,1,ww,NN6_8NN_grid_1,NN6_8NN_grid_1_2014,0,5,44,125,66,3.05,240,4
2014,Northamptonshire,bfc.agronomy,NN6_8NN,fifty.acre,2,ww,NN6_8NN_grid_2,NN6_8NN_grid_2_2014,2,176,57,20,35,1.689655172,290,5
2014,Norfolk,kerdiston.house,NR10_4RP,jollies,1,ww,NR10_4RP_grid_1,NR10_4RP_grid_1_2014,23,145,13,2,0,0.967213115,183,4
2014,Norfolk,kerdiston.house,NR10_4RP,treasures,2,ww,NR10_4RP_grid_2,NR10_4RP_grid_2_2014,0,85,31,10,0,1.404761905,126,3
2014,Norfolk,flordon.hall,NR15_1RT,24.acre,1,ww,NR15_1RT_grid_1,NR15_1RT_grid_1_2014,0,65,67,91,9,2.189655172,232,4
2014,Norfolk,flordon.hall,NR15_1RT,bracon.close,2,ww,NR15_1RT_grid_2,NR15_1RT_grid_2_2014,8,99,5,0,0,0.973214286,112,3
2014,Norfolk,friars,NR15_2QL,pillbox,1,ww,NR15_2QL_grid_1,NR15_2QL_grid_1_2014,30,108,9,14,21,1.384615385,182,5
2014,Norfolk,friars,NR15_2QL,ollands,2,ww,NR15_2QL_grid_2,NR15_2QL_grid_2_2014,71,86,0,0,0,0.547770701,157,2
2014,Norfolk,villa,NR16_1SN,glebe.30,1,ww,NR16_1SN_grid_1,NR16_1SN_grid_1_2014,133,85,7,1,0,0.451327434,226,4
2014,Norfolk,honingham.thorpe.farms,NR17_1NJ,sherrards.green,1,ww,NR17_1NJ_grid_1,NR17_1NJ_grid_1_2014,56,36,2,1,0,0.452631579,95,4
2014,Norfolk,honingham.thorpe.farms,NR17_1NJ,far.field,2,ww,NR17_1NJ_grid_2,NR17_1NJ_grid_2_2014,8,161,16,0,0,1.043243243,185,3
2014,Warwickshire,bourton,OX17_1AS,angels.piece,1,ww,OX17_1AS_grid_1,OX17_1AS_grid_1_2014,0,0,0,1,121,3.991803279,122,2
2014,Warwickshire,bourton,OX17_1AS,banbury.road,2,ww,OX17_1AS_grid_2,OX17_1AS_grid_2_2014,5,179,8,6,1,1.090452261,199,5
2014,Northamptonshire,clattercote,OX17_1QB,barn.ground,1,ww,OX17_1QB_grid_1,OX17_1QB_grid_1_2014,76,203,13,7,0,0.836120401,299,4
2014,Northamptonshire,clattercote,OX17_1QB,clattercote.meadow,2,ww,OX17_1QB_grid_2,OX17_1QB_grid_2_2014,0,7,38,31,13,2.561797753,89,4
2014,Oxfordshire,perdiswell,OX20_1QJ,gym,1,ww,OX20_1QJ_grid_1,OX20_1QJ_grid_1_2014,6,107,65,9,0,1.411764706,187,4
2014,Oxfordshire,perdiswell,OX20_1QJ,begbroke.A44,2,ww,OX20_1QJ_grid_2,OX20_1QJ_grid_2_2014,1,59,51,92,105,2.782467532,308,5
2014,Oxfordshire,souldern.grounds,OX25_6LU,slade,1,ww,OX25_6LU_grid_1,OX25_6LU_grid_1_2014,0,0,1,17,236,3.92519685,254,3
2014,Oxfordshire,souldern.grounds,OX25_6LU,ramground,2,ww,OX25_6LU_grid_2,OX25_6LU_grid_2_2014,0,35,46,34,107,2.959459459,222,4
2014,Oxfordshire,twelve.acre.farm,OX29_4BH,carters,1,ww,OX29_4BH_grid_1,OX29_4BH_grid_1_2014,0,0,5,16,98,3.781512605,119,3
2014,Oxfordshire,twelve.acre.farm,OX29_4BH,emmas,2,ww,OX29_4BH_grid_2,OX29_4BH_grid_2_2014,0,4,12,36,21,3.01369863,73,4
2014,Oxfordshire,model,OX49_5DX,stokewell.ground,1,ww,OX49_5DX_grid_1,OX49_5DX_grid_1_2014,0,24,46,8,2,1.85,80,4
2014,Oxfordshire,model,OX49_5DX,sids.and.the.linings,2,ww,OX49_5DX_grid_2,OX49_5DX_grid_2_2014,0,17,66,178,15,2.692028986,276,4
2014,Lincolnshire,churchview,PE10_0RZ,picks,1,ww,PE10_0RZ_grid_1,PE10_0RZ_grid_1_2014,10,140,27,3,0,1.127777778,180,4
2014,Lincolnshire,churchview,PE10_0RZ,cumfrey,2,ww,PE10_0RZ_grid_2,PE10_0RZ_grid_2_2014,0,37,58,57,45,2.558375635,197,4
2014,Lincolnshire,charlton,PE12_6QG,rookery.one.and.two,1,ww,PE12_6QG_grid_1,PE12_6QG_grid_1_2014,0,133,44,15,22,1.654205607,214,4
2014,Lincolnshire,charlton,PE12_6QG,rookery.bottom,2,ww,PE12_6QG_grid_2,PE12_6QG_grid_2_2014,0,51,45,56,17,2.230769231,169,4
2014,Lincolnshire,lighthouse,PE12_9YT,corridor,1,ww,PE12_9YT_grid_1,PE12_9YT_grid_1_2014,0,96,63,28,30,1.963133641,217,4
2014,Lincolnshire,lighthouse,PE12_9YT,roundabout,2,ww,PE12_9YT_grid_2,PE12_9YT_grid_2_2014,172,99,6,3,0,0.428571429,280,4
2014,Cambridgeshire,cotton,PE19_6PU,m15,1,ww,PE19_6PU_grid_1,PE19_6PU_grid_1_2014,0,15,36,127,14,2.729166667,192,4
2014,Cambridgeshire,cotton,PE19_6PU,c8,2,ww,PE19_6PU_grid_2,PE19_6PU_grid_2_2014,37,114,36,20,9,1.305555556,216,5
2014,Cambridgeshire,worlicks,PE26_2XF,opposite.cottage,1,ww,PE26_2XF_grid_1,PE26_2XF_grid_1_2014,5,93,48,37,37,2.036363636,220,5
2014,Cambridgeshire,worlicks,PE26_2XF,bridge.ground,2,ww,PE26_2XF_grid_2,PE26_2XF_grid_2_2014,0,81,24,23,56,2.293478261,184,4
2014,Cambridgeshire,wennington.lodge,PE28_2LP,bridge,1,ww,PE28_2LP_grid_1,PE28_2LP_grid_1_2014,1,104,57,27,11,1.715,200,5
2014,Cambridgeshire,wennington.lodge,PE28_2LP,behind.the.cotts,2,ww,PE28_2LP_grid_2,PE28_2LP_grid_2_2014,9,132,71,26,3,1.510373444,241,5
2014,Cambridgeshire,barnfield,PE28_3LY,big.orchard,1,ww,PE28_3LY_grid_1,PE28_3LY_grid_1_2014,0,12,33,72,62,3.027932961,179,4
2014,Cambridgeshire,barnfield,PE28_3LY,hill.field,2,ww,PE28_3LY_grid_2,PE28_3LY_grid_2_2014,0,7,15,29,116,3.520958084,167,4
2014,Cambridgeshire,manor.williams,PE28_5RR,back.of.hovels,1,ww,PE28_5RR_grid_1,PE28_5RR_grid_1_2014,1,1,27,107,61,3.147208122,197,5
2014,Cambridgeshire,manor.williams,PE28_5RR,chapmans,2,ww,PE28_5RR_grid_2,PE28_5RR_grid_2_2014,0,70,30,2,0,1.333333333,102,3
2014,Norfolk,cannister,PE32_2LW,lower.norrels.garden,1,ww,PE32_2LW_grid_1,PE32_2LW_grid_1_2014,0,13,18,41,28,2.84,100,4
2014,Norfolk,cannister,PE32_2LW,barn.field,2,ww,PE32_2LW_grid_2,PE32_2LW_grid_2_2014,0,22,20,45,20,2.588785047,107,4
2014,Cambridgeshire,burnt.house,PE7_2HP,joans.drove,1,ww,PE7_2HP_grid_1,PE7_2HP_grid_1_2014,38,139,22,16,5,1.140909091,220,5
2014,Cambridgeshire,burnt.house,PE7_2HP,mecks.centre,2,ww,PE7_2HP_grid_2,PE7_2HP_grid_2_2014,25,105,11,2,0,0.93006993,143,4
2014,Bedfordshire,fullers.hill,SG19_3BP,pink.cottage.close,1,ww,SG19_3BP_grid_1,SG19_3BP_grid_1_2014,19,220,37,2,0,1.079136691,278,4
2014,Bedfordshire,fullers.hill,SG19_3BP,middle.diff.align,2,ww,SG19_3BP_grid_2,SG19_3BP_grid_2_2014,0,43,37,53,48,2.585635359,181,4
2014,East Riding of Yorkshire,manor.house,YO25_8DX,16.acre,1,ww,YO25_8DX_grid_1,YO25_8DX_grid_1_2014,23,116,25,4,0,1.05952381,168,4
2014,East Riding of Yorkshire,manor.house,YO25_8DX,44.acre.the.bottoms,2,ww,YO25_8DX_grid_2,YO25_8DX_grid_2_2014,80,140,47,20,3,1.055172414,290,5
2014,East Riding of Yorkshire,newsome.lodge,YO25_8EJ,front,1,ww,YO25_8EJ_grid_1,YO25_8EJ_grid_1_2014,8,45,30,46,28,2.261146497,157,5
2014,North Yorkshire,overton,YO30_1AA,overton.6,1,ww,YO30_1AA_grid_1,YO30_1AA_grid_1_2014,108,0,0,0,0,0,108,1
2014,North Yorkshire,overton,YO30_1AA,overton.5,2,ww,YO30_1AA_grid_2,YO30_1AA_grid_2_2014,244,0,0,0,0,0,244,1
2014,North Yorkshire,hall.bank,YO30_1AN,eds,1,ww,YO30_1AN_grid_1,YO30_1AN_grid_1_2014,198,76,2,0,0,0.289855072,276,3
2014,North Yorkshire,greens,YO32_2RE,Field.2,1,ww,YO32_2RE_grid_1,YO32_2RE_grid_1_2014,5,70,31,38,2,1.739726027,146,5
2014,North Yorkshire,greens,YO32_2RE,Field.1,2,ww,YO32_2RE_grid_2,YO32_2RE_grid_2_2014,3,70,24,3,0,1.27,100,4
2014,North Yorkshire,hallmoor,YO32_2RQ,hallmoor.5,1,ww,YO32_2RQ_grid_1,YO32_2RQ_grid_1_2014,95,106,0,0,0,0.527363184,201,2
2014,North Yorkshire,spinks,YO61_1ET,south,1,ww,YO61_1ET_grid_1,YO61_1ET_grid_1_2014,49,112,45,11,0,1.082949309,217,4
2014,North Yorkshire,spinks,YO61_1ET,north,2,ww,YO61_1ET_grid_2,YO61_1ET_grid_2_2014,93,11,1,0,0,0.123809524,105,3
2014,North Yorkshire,raskelf,YO61_3LG,24.acre,1,ww,YO61_3LG_grid_1,YO61_3LG_grid_1_2014,0,119,54,29,7,1.636363636,209,4
2014,North Yorkshire,raskelf,YO61_3LG,45.acre.nr.duffields,2,ww,YO61_3LG_grid_2,YO61_3LG_grid_2_2014,0,36,96,74,2,2.201923077,208,4
2014,North Yorkshire,birch,YO62_5YD,newton.grange.23,1,ww,YO62_5YD_grid_1,YO62_5YD_grid_1_2014,82,80,2,0,0,0.512195122,164,3
2014,North Yorkshire,birch,YO62_5YD,newton.grange.bottom,2,ww,YO62_5YD_grid_2,YO62_5YD_grid_2_2014,139,77,0,0,0,0.356481481,216,2
2015,Cambridgeshire,midload,CB25_9LQ,chivers.top.left,1,ww,CB25_9LQ_grid_1,CB25_9LQ_grid_1_2015,38,116,11,0,0,0.836363636,165,3
2015,Cambridgeshire,midload,CB25_9LQ,chivers.bottom.right,2,ww,CB25_9LQ_grid_2,CB25_9LQ_grid_2_2015,6,85,48,9,0,1.405405405,148,4
2015,Cambridgeshire,temple,CB7_4SS,sedgefen,2,potatoes,CB7_4SS_grid_2,CB7_4SS_grid_2_2015,92,31,0,0,0,0.25203252,123,2
2015,Cambridgeshire,temple,CB7_4SS,Temple.Farm,3,ww,CB7_4SS_grid_3,CB7_4SS_grid_3_2015,140,2,0,0,0,0.014084507,142,2
2015,Warwickshire,squab.hall,CV33_9QB,field.3,1,wbar,CV33_9QB_grid_1,CV33_9QB_grid_1_2015,185,23,0,0,0,0.110576923,208,2
2015,Warwickshire,squab.hall,CV33_9QB,field.5,2,wbar,CV33_9QB_grid_2,CV33_9QB_grid_2_2015,71,3,0,0,0,0.040540541,74,2
2015,Warwickshire,squab.hall,CV33_9QB,Near.Ufton,3,ww,CV33_9QB_grid_3,CV33_9QB_grid_3_2015,37,122,24,14,0,1.076142132,197,4
2015,Warwickshire,gaydon.hill,CV35_0HQ,shooters.bank,1,sp bar,CV35_0HQ_grid_1,CV35_0HQ_grid_1_2015,14,171,19,2,0,1.04368932,206,4
2015,Warwickshire,gaydon.hill,CV35_0HQ,mushroom.field,2,sp bar,CV35_0HQ_grid_2,CV35_0HQ_grid_2_2015,9,201,21,0,0,1.051948052,231,3
2015,Warwickshire,gaydon.hill,CV35_0HQ,garage.field,3,ww,CV35_0HQ_grid_3,CV35_0HQ_grid_3_2015,0,34,68,51,14,2.269461078,167,4
2015,Warwickshire,croft,CV37_7NF,croft,3,ww,CV37_7NF_grid_3,CV37_7NF_grid_3_2015,29,100,6,0,0,0.82962963,135,3
2015,Lincolnshire,grange,DN36_5UP,glasshouse,3,ww,DN36_5UP_grid_3,DN36_5UP_grid_3_2015,0,54,54,31,56,2.456410256,195,4
2015,Lincolnshire,grange.faulding,DN40_3PX,glebe.22,1,wbar,DN40_3PX_grid_1,DN40_3PX_grid_1_2015,58,105,13,8,15,1.08040201,199,5
2015,Lincolnshire,grange.faulding,DN40_3PX,22.acre,3,ww,DN40_3PX_grid_3,DN40_3PX_grid_3_2015,0,93,102,33,3,1.766233766,231,4
2015,South Yorks,highfields,DN5_7UJ,common.hill,1,spr bar,DN5_7UJ_grid_1,DN5_7UJ_grid_1_2015,16,132,44,34,6,1.49137931,232,5
2015,South Yorks,highfields,DN5_7UJ,rig.field,2,spr bar,DN5_7UJ_grid_2,DN5_7UJ_grid_2_2015,19,150,30,0,0,1.055276382,199,3
2015,South Yorks,highfields,DN5_7UJ,Highfields.Farm,3,ww,DN5_7UJ_grid_3,DN5_7UJ_grid_3_2015,30,110,11,0,0,0.874172185,151,3
2015,South Yorks,manor.robinson,DN7_5TG,front.field,1,ww,DN7_5TG_grid_1,DN7_5TG_grid_1_2015,13,37,31,44,56,2.513812155,181,5
2015,Buckinghamshire,moorleys,HP18_9QQ,wells.road,1,sp bar,HP18_9QQ_grid_1,HP18_9QQ_grid_1_2015,52,214,4,1,0,0.830258303,271,4
2015,Buckinghamshire,moorleys,HP18_9QQ,cow.road,2,sp bar,HP18_9QQ_grid_2,HP18_9QQ_grid_2_2015,4,67,0,0,0,0.943661972,71,2
2015,Buckinghamshire,moorleys,HP18_9QQ,moorleys,3,ww,HP18_9QQ_grid_3,HP18_9QQ_grid_3_2015,0,109,59,7,0,1.417142857,175,3
2015,East Riding of Yorkshire,new.headlands,HU11_4QA,dottoms,1,spr bar,HU11_4QA_grid_1,HU11_4QA_grid_1_2015,0,130,59,11,1,1.417910448,201,4
2015,East Riding of Yorkshire,new.headlands,HU11_4QA,back.of.beans,2,spr bar,HU11_4QA_grid_2,HU11_4QA_grid_2_2015,20,101,59,26,6,1.514150943,212,5
2015,East Riding of Yorkshire,grange.patchett,HU15_1RG,19.acre,3,ww,HU15_1RG_grid_3,HU15_1RG_grid_3_2015,60,125,0,0,0,0.675675676,185,2
2015,East Riding of Yorkshire,bransholme.dairy,HU7_4YP,field.2,2,ww,HU7_4YP_grid_2,HU7_4YP_grid_2_2015,12,88,28,3,6,1.291970803,137,5
